acs_met2013,pre_covid_slr,hhinc,pov,college,employed,renter,age25_44,age45_64,commute,density,vacancy,valueh,rooms,bedrooms,valueh_pre,valueh_post,log_value_change,met2013,statefip
"santa cruz-watsonville, ca",.99578285,591271.2591244173,314.66599,.28385279,.47975197,.4097046,.23044284,.28319767,12.06039,2812.425323223112,0,5192186.06225763,5.2299571,3.572005,5057239.907613108,4957962.872044403,-.019825917,"Santa Cruz-Watsonville, CA",6
"santa fe, nm",.97847259,316509.2511410529,322.13995,.32695073,.50705731,.24030106,.22333375,.31256253,9.5859461,554.600000000002,0,3086579.610635238,5.5532856,3.7017789,3078143.376096041,2979848.724484549,-.032454081,"Santa Fe, NM",35
"santa maria-santa barbara, ca",.98886371,548177.3629857114,290.49918,.21479493,.47492644,.47582433,.25215149,.22328836,8.5594273,3505.416954508678,0,5676263.766647521,5.1575727,3.6178942,5643982.87021139,5636300.131226585,-.0013621538,"Santa Maria-Santa Barbara, CA",6
"santa rosa, ca",.99653983,290250.1333511911,348.2496,.25460237,.5143277,.35609427,.24684054,.28586945,11.436956,2070.853348847234,0,4394724.531952429,5.5247388,3.7596741,4368072.082199951,4368602.476663984,.00012141793,"Santa Rosa, CA",6
"scranton--wilkes-barre--hazleton, pa",.94799495,440423.945068167,292.20416,.18841882,.46013355,.2844542,.22560562,.28511298,9.4926138,1702.775835882357,0,3504902.806264245,6.401556,3.8693347,3471325.30845762,3417253.220696097,-.015699377,"Scranton--Wilkes-Barre--Hazleton, PA",42
"seattle-tacoma-bellevue, wa",1.0078896,297056.6211704672,354.26089,.30616108,.5178479,.35558018,.29850358,.26526254,14.719887,4083.547151168141,0,4125282.795381279,6.1571665,3.9207866,4104606.637707376,4106728.900301388,.00051691046,"Seattle-Tacoma-Bellevue, WA",53
"sebastian-vero beach, fl",.96336645,262709.1260628161,311.51892,.28306642,.36783516,.20496775,.15786484,.31210145,6.9923406,917.3000000000004,0,2561836.09358279,5.6480889,3.7129388,2655218.400909061,2545834.53005753,-.042068407,"Sebastian-Vero Beach, FL",12
"spartanburg, sc",.98752123,352883.4306809607,280.77615,.16330154,.47856802,.24283627,.25031257,.27278528,10.346309,637.7996540700531,0,3053031.496250907,5.9865746,3.8815053,3055197.416481601,2840732.987400886,-.072782099,"Spartanburg, SC",45
"spokane-spokane valley, wa",.99972403,382362.3681845933,289.12308,.201676,.44368282,.32437631,.24476838,.26496559,9.0300169,1823.961043062286,0,3858718.923665437,6.5496316,4.0157514,3849955.59882771,3535477.479224759,-.085213251,"Spokane-Spokane Valley, WA",53
"springfield, il",.97318774,303526.1444184647,322.79709,.26793712,.48618665,.22999366,.24859789,.28235501,9.4498253,803.0999999999998,0,2755687.530590723,6.3764148,3.8701859,2799027.615240883,2627033.406556826,-.063416846,"Springfield, IL",17
