zillow_regionname,acs_regionname,acs_met2013,match_method
santa maria santa barbara ca,"Santa Cruz, CA",,substring
scranton wilkes barre hazleton pa,"Scranton, PA",,substring
seattle tacoma bellevue wa,"Seattle, WA",,substring
sebastian vero beach fl,"Sebastian, FL",,substring
shreveport bossier city la,"Shreveport, LA",,substring
spokane spokane valley wa,"Spokane, WA",,substring
st joseph mo ks,"Augusta, GA",,substring
st louis mo il,"Augusta, GA",,substring
stockton lodi ca,"Stockton, CA",,substring
tampa st petersburg clearwater fl,"Tampa, FL",,substring
utica rome ny,"Utica, NY",,substring
vallejo fairfield ca,"Vallejo, CA",,substring
vineland bridgeton nj,"Vineland, NJ",,substring
virginia beach norfolk newport news va nc,"Virginia Beach, VA",,substring
visalia porterville ca,"Visalia, CA",,substring
washington arlington alexandria dc va md wv,"Washington, DC",,substring
winston salem nc,"Winston, NC",,substring
worcester ma ct,"Worcester, MA",,substring
york hanover pa,"New York, NY",,substring
youngstown warren boardman oh pa,"Youngstown, OH",,substring
